agglvl_code,agglvl_title,File
10,"National, Total Covered",Single File
11,"National, Total -- by ownership sector",Single File
12,"National, by Domain -- by ownership sector",Single File
13,"National, by Supersector -- by ownership sector",Single File
14,"National, NAICS Sector -- by ownership sector",Single File
15,"National, NAICS 3-digit -- by ownership sector",Single File
16,"National, NAICS 4-digit -- by ownership sector",Single File
17,"National, NAICS 5-digit -- by ownership sector",Single File
18,"National, NAICS 6-digit -- by ownership sector",Single File
21,"National, Private, total, by establishment size class",Size File
22,"National, Private, Domain, by establishment size class",Size File
23,"National, Private, by Supersector, by establishment size class",Size File
24,"National, Private, NAICS Sector, by establishment size class",Size File
25,"National, Private, NAICS 3-digit, by establishment size class",Size File
26,"National, Private, NAICS 4-digit, by establishment size class",Size File
27,"National, Private, NAICS 5-digit, by establishment size class",Size File
28,"National, Private, NAICS 6-digit, by establishment size class",Size File
30,"CMSA or CSA, Total Covered",Single File
40,"MSA, Total Covered",Single File
41,"MSA, Total -- by ownership sector",Single File
42,"MSA, by Domain -- by ownership sector",Single File
43,"MSA, by Supersector -- by ownership sector",Single File
44,"MSA, NAICS Sector -- by ownership sector",Single File
45,"MSA, NAICS 3-digit -- by ownership sector",Single File
46,"MSA, NAICS 4-digit -- by ownership sector",Single File
47,"MSA, NAICS 5-digit -- by ownership sector",Single File
48,"MSA, NAICS 6-digit -- by ownership sector",Single File
50,"State, Total Covered",Single File
51,"State, Total -- by ownership sector",Single File
52,"State, by Domain -- by ownership sector",Single File
53,"State, by Supersector -- by ownership sector",Single File
54,"State, NAICS Sector -- by ownership sector",Single File
55,"State, NAICS 3-digit -- by ownership sector",Single File
56,"State, NAICS 4-digit -- by ownership sector",Single File
57,"State, NAICS 5-digit -- by ownership sector",Single File
58,"State, NAICS 6-digit -- by ownership sector",Single File
61,"State, Private, total, by establishment size class",Single File
62,"State, Private, Domain, by establishment size class",Single File
63,"State, Private, by Supersector, by establishment size class",Single File
64,"State, Private, NAICS Sector, by establishment size class",Single File
70,"County, Total Covered",Single File
71,"County, Total -- by ownership sector",Single File
72,"County, by Domain -- by ownership sector",Single File
73,"County, by Supersector -- by ownership sector",Single File
74,"County, NAICS Sector -- by ownership sector",Single File
75,"County, NAICS 3-digit -- by ownership sector",Single File
76,"County, NAICS 4-digit -- by ownership sector",Single File
77,"County, NAICS 5-digit -- by ownership sector",Single File
78,"County, NAICS 6-digit -- by ownership sector",Single File
80,"MicroSA, Total Covered",Single File
91,"Total, all U.S. MSAs",Single File
92,"Total, all U.S. CMSAs or all U.S. CSAs",Single File
93,"Total, all U.S. non-MSA counties",Single File
94,Total U.I. Covered (U.S.),Single File
95,Total Government (U.S.),Single File
96,"Total Government, by State",Single File
