date_ym,nbf_annual,nbf,nbi_annual,nbi,cbf_annual,cbf
194801,101.1,115.7,95462,9380,234.6,13
194802,101.1,107.5,95462,8329,234.6,25.6
194803,101.1,105,95462,8349,234.6,17.5
194804,101.1,104.5,95462,8396,234.6,15.3
194805,101.1,103.7,95462,8064,234.6,13.8
194806,101.1,102.7,95462,8210,234.6,12.2
194807,101.1,100.6,95462,8168,234.6,13.9
194808,101.1,97.4,95462,7439,234.6,21.4
194809,101.1,96.3,95462,7483,234.6,20.7
194810,101.1,95.2,95462,7349,234.6,25.1
194811,101.1,93.4,95462,7241,234.6,24.4
194812,101.1,91.7,95462,7054,234.6,31.7
194901,83.7,90.5,86162,7012,308.2,19.2
194902,83.7,87,86162,6826,308.2,27.6
194903,83.7,84.4,86162,6791,308.2,37.2
194904,83.7,83,86162,6879,308.2,31.9
194905,83.7,82.5,86162,7006,308.2,24.6
194906,83.7,81.5,86162,6879,308.2,28.2
194907,83.7,80.8,86162,7057,308.2,21.8
194908,83.7,81,86162,7330,308.2,31.2
194909,83.7,81.8,86162,7403,308.2,20.6
194910,83.7,83,86162,7532,308.2,23.9
194911,83.7,83.6,86162,7659,308.2,22.8
194912,83.7,85.5,86162,7788,308.2,19.2
195001,87.7,85.5,93028,7830,248.1,26.4
195002,87.7,86.4,93028,8275,248.1,22.2
195003,87.7,87.8,93028,8078,248.1,27.9
195004,87.7,89.4,93028,8132,248.1,21.2
195005,87.7,89.7,93028,8403,248.1,22.7
195006,87.7,89.8,93028,8394,248.1,18.1
195007,87.7,89.7,93028,7898,248.1,19.5
195008,87.7,88.2,93028,7684,248.1,18.4
195009,87.7,86.4,93028,7092,248.1,15.2
195010,87.7,86.7,93028,7176,248.1,16.6
195011,87.7,86.7,93028,7059,248.1,18.9
195012,87.7,86.6,93028,7007,248.1,21
195101,86.7,86.4,83779,7214,259.6,21.7
195102,86.7,86.8,83779,7016,259.6,16
195103,86.7,87.6,83779,6937,259.6,17.7
195104,86.7,86.7,83779,7082,259.6,17.1
195105,86.7,85.3,83779,6848,259.6,23.5
195106,86.7,85.5,83779,6759,259.6,22.8
195107,86.7,85.9,83779,6796,259.6,21.1
195108,86.7,85.9,83779,6880,259.6,26.4
195109,86.7,86.4,83779,6952,259.6,26.6
195110,86.7,87.1,83779,6995,259.6,29.7
195111,86.7,88.3,83779,7119,259.6,17.6
195112,86.7,88.2,83779,7181,259.6,19.4
195201,90.8,87.8,92991,7080,283.3,26.2
195202,90.8,89.3,92991,7214,283.3,19.5
195203,90.8,90.3,92991,7348,283.3,29.2
195204,90.8,89.1,92991,7499,283.3,29.5
195205,90.8,89.4,92991,7441,283.3,21.2
195206,90.8,91.5,92991,7700,283.3,21.2
195207,90.8,90.6,92991,7683,283.3,22.8
195208,90.8,91.9,92991,8065,283.3,16.3
195209,90.8,93,92991,8259,283.3,20.1
195210,90.8,92.7,92991,8341,283.3,35.1
195211,90.8,92.1,92991,8265,283.3,18.8
195212,90.8,91.9,92991,8096,283.3,23.4
195301,89.7,92.7,102620,8304,394.2,23.3
195302,89.7,92.3,102620,8351,394.2,27.3
195303,89.7,92.1,102620,8634,394.2,31.1
195304,89.7,91.4,102620,8534,394.2,27.5
195305,89.7,91.1,102620,8785,394.2,32.8
195306,89.7,89.4,102620,8605,394.2,32.4
195307,89.7,89.2,102620,8757,394.2,39.8
195308,89.7,89.4,102620,8515,394.2,28.5
195309,89.7,87.9,102620,8185,394.2,33.8
195310,89.7,87.4,102620,8698,394.2,37.1
195311,89.7,86.5,102620,8556,394.2,36.8
195312,89.7,86.6,102620,8696,394.2,43.8
195401,88.8,86.5,117885,8638,462.7,29.6
195402,88.8,86.1,117885,8937,462.7,47.8
195403,88.8,85.5,117885,9155,462.7,57.3
195404,88.8,86.1,117885,9276,462.7,42.5
195405,88.8,87,117885,9158,462.7,38.5
195406,88.8,87.9,117885,9436,462.7,41.6
195407,88.8,88.6,117885,9772,462.7,32.2
195408,88.8,88.9,117885,9882,462.7,32.6
195409,88.8,89.7,117885,10085,462.7,36.4
195410,88.8,92,117885,10730,462.7,29
195411,88.8,93.3,117885,11212,462.7,35.1
195412,88.8,93.4,117885,11604,462.7,40.1
195501,96.6,95.1,140416,11902,449.4,37.9
195502,96.6,96.9,140416,11843,449.4,42.1
195503,96.6,96.9,140416,11679,449.4,41.2
195504,96.6,96.2,140416,11215,449.4,36
195505,96.6,96.9,140416,11521,449.4,34.7
195506,96.6,97.9,140416,12072,449.4,36.7
195507,96.6,97.2,140416,11655,449.4,32.5
195508,96.6,96.7,140416,11572,449.4,36
195509,96.6,97.1,140416,11968,449.4,33.1
195510,96.6,96.2,140416,11668,449.4,34.8
195511,96.6,96.1,140416,11761,449.4,42.8
195512,96.6,95.9,140416,11560,449.4,41.6
195601,94.6,95.9,140793,11620,562.7,42.9
195602,94.6,96.9,140793,12449,562.7,49.2
195603,94.6,95.5,140793,11591,562.7,42.6
195604,94.6,96.4,140793,11888,562.7,41.9
195605,94.6,96.3,140793,12245,562.7,59.9
195606,94.6,94.9,140793,11999,562.7,43
195607,94.6,94.4,140793,11851,562.7,48.7
195608,94.6,93.5,140793,11707,562.7,55
195609,94.6,92.7,140793,11193,562.7,39.3
195610,94.6,94,140793,11925,562.7,50
195611,94.6,92.7,140793,11186,562.7,39.9
195612,94.6,92.3,140793,11139,562.7,50.3
195701,90.3,91.5,135758,11250,615.2,54.1
195702,90.3,91.2,135758,11359,615.2,65.4
195703,90.3,91.3,135758,11367,615.2,55.8
195704,90.3,91.6,135758,11507,615.2,57.1
195705,90.3,90.6,135758,11109,615.2,52.6
195706,90.3,91.6,135758,11739,615.2,51.4
195707,90.3,91.3,135758,11686,615.2,44.3
195708,90.3,90.5,135758,11593,615.2,43.5
195709,90.3,89.5,135758,11318,615.2,45.4
195710,90.3,89.3,135758,11251,615.2,47.4
195711,90.3,88,135758,10788,615.2,52.9
195712,90.3,87.2,135758,10791,615.2,45.3
195801,90.2,86.9,151479,11042,728.3,64.4
195802,90.2,86.3,151479,11049,728.3,65.3
195803,90.2,85.9,151479,11042,728.3,71.6
195804,90.2,85.1,151479,10636,728.3,84
195805,90.2,87.9,151479,11752,728.3,56.2
195806,90.2,89.5,151479,12032,728.3,61.4
195807,90.2,90.1,151479,12504,728.3,65.4
