agglvl_code,agglvl_title,File
01,"National, Total Covered",Single File
02,"National, Total -- by ownership sector",Single File
03,"National, Industry Division -- by ownership sector",Single File
04,"National, 2-digit SIC -- by ownership sector",Single File
05,"National, 3-digit SIC -- by ownership sector",Single File
06,"National, 4-digit SIC -- by ownership sector",Single File
07,"National, Private, total, by establishment size class",Size File
08,"National, Private, industry Division, by establishment size class",Size File
09,"National, Private, 2-digit SIC, by establishment size class",Size File
10,"National, Private, 3-digit SIC, by establishment size class",Size File
11,"National, Private, 4-digit SIC, by establishment size class",Size File
12,"MSA, Total Covered",Size File
13,"MSA, Total -- by ownership sector",Single File
14,"MSA, Industry Division -- by ownership sector",Single File
15,"MSA, 2-digit SIC -- by ownership sector",Single File
16,"MSA, 3-digit SIC -- by ownership sector",Single File
17,"MSA, 4-digit SIC -- by ownership sector",Single File
18,"State, Total Covered",Single File
19,"State, Total -- by ownership sector",Single File
20,"State, Industry Division -- by ownership sector",Single File
21,"State, 2-digit SIC -- by ownership sector",Single File
22,"State, 3-digit SIC -- by ownership sector",Single File
23,"State, 4-digit SIC -- by ownership sector",Single File
24,"State, Private, total, by establishment size class",Size File
25,"State, Private, industry Division, by establishment size class",Size File
26,"County, Total Covered",Single File
27,"County, Total -- by ownership sector",Single File
28,"County, Industry Division -- by ownership sector",Single File
29,"County, 2-digit SIC -- by ownership sector",Single File
30,"County, 3-digit SIC -- by ownership sector",Single File
31,"County, 4-digit SIC -- by ownership sector",Single File
