"csv_industry_code","ewb_industry_code","industry_title"
"SIC_0Z","0Z","All Industries"
"SIC_0A","0A","Agriculture, Forestry, and Fishing Division"
"SIC_0B","0B","Mining Division"
"SIC_0C","0C","Construction Division"
"SIC_0D","0D","Manufacturing Division"
"SIC_0E","0E","Transportation and Public Utilities Division"
"SIC_0F","0F","Wholesale Trade Division"
"SIC_0G","0G","Retail Trade Division"
"SIC_0H","0H","Finance, Insurance, and Real Estate Division"
"SIC_0I","0I","Services Division"
"SIC_0J","0J","Public Administration Division"
"SIC_0K","0K","Nonclassifiable Establishments"
"SIC_0A01","0A01","SIC 01 Agricultural Production Crops"
"SIC_0A011","0A011","SIC 011 Cash Grains"
"SIC_0A0111","0A0111","SIC 0111 Wheat"
"SIC_0A0112","0A0112","SIC 0112 Rice"
"SIC_0A0115","0A0115","SIC 0115 Corn"
"SIC_0A0116","0A0116","SIC 0116 Soybeans"
"SIC_0A0119","0A0119","SIC 0119 Cash grains, nec"
"SIC_0A013","0A013","SIC 013 Field Crops, Except Cash Grains"
"SIC_0A0131","0A0131","SIC 0131 Cotton"
"SIC_0A0132","0A0132","SIC 0132 Tobacco"
"SIC_0A0133","0A0133","SIC 0133 Sugarcane and sugar beets"
"SIC_0A0134","0A0134","SIC 0134 Irish potatoes"
"SIC_0A0139","0A0139","SIC 0139 Field crops, except cash grains, nec"
"SIC_0A016","0A016","SIC 016 Vegetables and Melons"
"SIC_0A0161","0A0161","SIC 0161 Vegetables and melons"
"SIC_0A017","0A017","SIC 017 Fruits and Tree Nuts"
"SIC_0A0171","0A0171","SIC 0171 Berry crops"
"SIC_0A0172","0A0172","SIC 0172 Grapes"
"SIC_0A0173","0A0173","SIC 0173 Tree nuts"
"SIC_0A0174","0A0174","SIC 0174 Citrus fruits"
"SIC_0A0175","0A0175","SIC 0175 Deciduous tree fruits"
"SIC_0A0179","0A0179","SIC 0179 Fruits and tree nuts, nec"
"SIC_0A018","0A018","SIC 018 Horticultural Specialties"
"SIC_0A0181","0A0181","SIC 0181 Ornamental nursery products"
"SIC_0A0182","0A0182","SIC 0182 Food crops grown under cover"
"SIC_0A0189","0A0189","1972 SIC 0189 Horticultural Specialties, Nec"
"SIC_0A019","0A019","SIC 019 General Farms, Primarily Crop"
"SIC_0A0191","0A0191","SIC 0191 General farms, primarily crop"
"SIC_0A02","0A02","SIC 02 Agricultural Production Livestock"
"SIC_0A021","0A021","SIC 021 Livestock, Except Dairy and Poultry"
"SIC_0A0211","0A0211","SIC 0211 Beef cattle feedlots"
"SIC_0A0212","0A0212","SIC 0212 Beef cattle, except feedlots"
"SIC_0A0213","0A0213","SIC 0213 Hogs"
"SIC_0A0214","0A0214","SIC 0214 Sheep and goats"
"SIC_0A0219","0A0219","SIC 0219 General livestock, nec"
"SIC_0A024","0A024","SIC 024 Dairy Farms"
"SIC_0A0241","0A0241","SIC 0241 Dairy farms"
"SIC_0A025","0A025","SIC 025 Poultry and Eggs"
"SIC_0A0251","0A0251","SIC 0251 Broiler, fryer, and roaster chickens"
"SIC_0A0252","0A0252","SIC 0252 Chicken eggs"
"SIC_0A0253","0A0253","SIC 0253 Turkeys and turkey eggs"
"SIC_0A0254","0A0254","SIC 0254 Poultry hatcheries"
"SIC_0A0259","0A0259","SIC 0259 Poultry and eggs, nec"
"SIC_0A027","0A027","SIC 027 Animal Specialties"
"SIC_0A0271","0A0271","SIC 0271 Fur-bearing animals and rabbits"
